company_id,avg_roe
LT,75.37
LICI,51.72
HINDUNILVR,48.42
BRITANNIA,45.26
NESTLEIND,45.18
COALINDIA,42.46
TCS,38.59
LTIM,33.63
PNB,31.76
IRCTC,30.76
