company_id,avg_debt_equity
LICI,97.58
UNIONBANK,16.13
CANBK,15.72
BANKBARODA,14.14
ADANIPOWER,10.98
AXISBANK,9.0
IRFC,8.55
ADANIGREEN,8.53
PFC,8.39
PNB,8.14
